Year,Sum
1997,877
1998,2155
1999,1598
2000,1012
2001,755
2002,1060
2003,898
2004,1202
2005,803
2006,1235
2007,612
2008,1165
2009,1079
2010,1464
2011,1528
2012,615
2013,442
2014,177
2015,386
2016,1428
2017,1603
2018,509
2019,1402
2020,794
